SENTENCE	LABEL
The cook asked the designer if he likes the new dish.	1
The accountant got angry with the mechanic and complained to the boss about her.	1
The janitor talked to the auditor because she did not know which room she needed to clean up.	1
Come back some other time if you want to play with them , OK ?	0
Allowing the candidates to see their marked tests is a simple means of increasing transparency and confidence in the procedure for the recruitment of European civil servants.	0
The farmer demanded the auditor leave the farm because they were the owner .	0
The analyst would constantly make fun of the teacher because she was a bully.	1
The carpenter hired the cleaner because she was favorably recommended.	1
The sheriff asked the secretary to close the window because she was nearby.	1
But I want to join previous speakers in emphasising two concerns.	0
The teacher told the guard about the danger and was subsequently protected by them .	0
The mover offered to help the receptionist because he needed to move his desk.	1
Fela , himself has already made the Shrine popular for all the Africans .	1
On behalf of my group, I should like to express our wholehearted support for the Chairman of the Committee.	0
The laborer eats more than the cleaner because she works harder.	1
The lawyer thanked the nurse for taking good care of them .	0
If we knew his route , then his account might begin to reveal a lost history , of these lands ,	1
What is significant is that the majority of Russian citizens supported this move.	0
I now ask Mr Hatzidakis to become the promoter of another initiative, to have double shells adopted also for the road tankers that carry oil and other harmful substances on our motorways.	1
The carpenter made a wood lion for the accountant and asked him to pay.	1
Instead of standing by them , supporting them , you are choosing their abusive mother over them .	0
The developer needed feedback from the cashier because they were going to be a user of the system .	0
The counselor was ordered to examine the CEO and proceeded to their home .	0
As the delegate, Mr Van Lancker, emphasises, although social dialogue is important, it must produce tangible results.	1
I am convinced that if women, both Palestinian and Israeli, had a say and a role in the peace process, there is every likelihood that a fair and viable solution to the Palestinian question would have been found and we would not now be facing the present crisis, which is the outcome of 7 whole years of failed negotiation.	1
I am speaking today on behalf of our Co-President, Mr Hautala, who is unable to be here this evening.	1
The lawyer yelled at the hairdresser and threaten to sue them .	0
The developer needed feedback from the cashier because he was developing a banking system.	1
My third observation concerns the rights of citizens from third countries.	0
Also claims everyone at her college is mean to her , her classmates are all studying degrees that are to help people in life .	1
The laborer dug a hole for the assistant because they had a shovel .	0
The guard saved the editor from the criminals because they needed help .	0
The sheriff told the cleaner that he needed to search the building.	1
Mr President, I would like to compliment the deputy, Mr Bowis for his very constructive and very logical approach to this particular problem.	1
You mean their girlfriend is a hairdresser	0
The farmer ran faster than the tailor because they were in shape .	0
Not only that , but they claim they were chatting with them after you were convinced they ' d gone to bed early .	0
There is also the fact that the chairman of the state broadcasting corporation has resigned, this being a signal, I believe, that he refuses to act as the extension and mouthpiece of the regime any longer.	1
In that same tweet where he went hard about the stoppage being early for example he also ranted about Usman faking an eyepoke ( the video footage shows 100 % clearly that there was nothing fake about it ) and that an eye poke he recieved was ignored ( again the video footage shows 100 % clearly that he was not ) .	1
Better than that , they turn them into images	0
I will never forget the way Jake would comfort me if he saw that I was upset .	1
Citizens must of course be protected.	0
The editor forgot the salesperson 's name because there is nothing special about them .	0
I don 't see how he serves any purpose to the story if he 's in prison .	1
BIanche also believed in what they saw except they saw a Iot more and a Iot further than we do	0
And if Jane isn 't home sick in bed , that internship of hers is over .	1
The cashier was handed money by the CEO and then gave them the goods .	0
Something has happened to them .	0
I compliment Commissioner Wallström on her efforts in The Hague and wish her more success.	1
The carpenter made a desk for the clerk because she needed a desk.	1
The cook prepares some food for the writer every day because they are very good at that .	0
The construction worker hired the cleaner so they can focus on the cleaning work .	0
They cry for them and they realise the common humanity , don 't you think ?	0
They felt ancient and alien between their fingers , and they reveled in the sensation – gaining precious distance from the reality of the techno-clinic around them .	0
The sheriff asked the receptionist the way to the toilet because he had no idea.	1
Pls add my son who has played since season 11 and is desperate for an umbrella as all his friends at school mock him for not having one .	1
The manager gave the attendant tips and asked them to bring some cookies .	0
The assistant helped the carpenter and learned from her.	1
The librarian stared at the CEO and asked them to leave .	0
The developer built a website for the tailor and charged him one thousand dollars.	1
The salesperson asked the housekeeper that if they could help to set up a meeting with the house owner .	0
The supervisor criticized the attendant because she could not tolerate any mistakes.	1
The clerk hated the salesperson and sabotaged her.	1
The carpenter met with the teacher so that she could ask science questions.	1
The laborer approached the baker and asked them about the weather .	0
The hairdresser cut the cook 's hair and asked them for tips .	0
The citizens of our respective countries would not understand if this were not the case.	0
The hairdresser visited the developer and congratulated them for the promotion .	0
I should like to point out that the European ombudsman has specifically told me that he will respond to my accusations by the end of this month.	1
To me they look like every other middle aged asian woman with makeup on .	0
The construction worker gave the tax return to the accountant because she was the only qualified professional to handle the job.	1
This way they can get their rightful demerits .	0
Hitler was very fond of Blondi , keeping her by his side and allowing her to sleep in his bed in the bunker .	1
The editor interviewed the salesperson and wrote an article about her company.	1
The supervisor invited the designer to the party because he wanted everyone to be there.	1
In vain she was telling herself , that it would be madness .	1
The lawyer represented the writer because she was a big fan.	1
My compliments to him and indeed to our representative, Mr Bowis, for a very logical and rational approach to the problem before us today.	1
The construction worker scheduled an appointment with the counselor and asked them for advice .	0
The counselor warned the developer that they would charge people who break the rules .	0
How often was Riven picked when she had 54 + % wr .	1
The receptionist stole the pen from the guard and tricked her.	1
The carpenter made a desk for the clerk because she had time.	1
I am thinking particularly here of the discrimination affecting third-country nationals, but also the second-generation children from immigrant families.	0
Although gravely wounded by the knife that had pierced them , the victim tried to defend themselves with a small revolver .	0
The mechanic hired the tailor because she could do the work.	1
The physician examined the auditor for sores because he complained.	1
Mr President, even though the spokesperson has stated modestly that the report could have been better, I would still like to offer him my compliments.	1
The salesperson tried to persuade the hairdresser to buy something and he refused that.	1
The physician wrote a letter to the writer because they were a famous person .	0
The chief contacted the designer and gave him the requirements for the new logo.	1
The guard saved the editor from the criminals because he was on duty.	1
The CEO helped the nurse because they wanted to help .	0
The guard is talking to the tailor about the new suit he is making.	1
The salesperson asked the housekeeper whether he could meet with the house owner.	1
Except when Steven Miller is on top , they added .	0
Later on, when our colleague, Mrs Doyle, raised the issue, all of a sudden the President herself decided that this issue should go on to the agenda.	1
The construction worker stared at the teacher because she was angry.	1
The editor splashed the supervisor and yelled at her.	1
The manager asked for a new design from the tailor but he was too busy.	1
Mr Martinez took part in the first one, and right here I have, if my fellow Member would care to consult it, his minority opinion, which was expressed in writing at the time of the Böge committee.	1
Don 't you think that they might not be aware of their cousin sending the message , their cousins might be playing a prank on them or something .	0
The librarian loved to share books with the cook but stopped when they started stealing .	0
The manager was friendly with the editor so that he receives good publicity.	1
He posted his story to find out whether he 's TA or not and about 4 people are here questioning him about this .	1
The supervisor yelled at the cashier because he liked to pick his nose.	1
At the same time , that other woman prepares themselves for a happy night .	0
The cook had to hire the accountant so that they do not have to worry about finances .	0
Our citizens know, because we cannot lie to people with impunity, that the crisis is serious.	0
The mover offered to help the receptionist because they needed to move their desk .	0
would you stop saying " They " ?	0
The sheriff trusts the assistant because he was always honest.	1
The supervisor noticed the accountant was unable to follow protocol and berated him.	1
The analyst walked to the cashier because she could help to deposit a check.	1
well I don 't blame her Even I under-estimate myself	1
The cleaner called the guard because he forgot to bring his key.	1
They were held prisoner.	0
The hairdresser outran the mover and laughed at them .	0
And where does he dance ?	1
The driver was embarrassed by the librarian's silly hat and never drove him anywhere.	1
The mover saw how weak the clerk was and moved the desk for them .	0
The driver went to the cashier because he needed to make a deposit.	1
or so they put forward .	0
Your ahead of lucy and yet they can 't get themselves a boyfriend because they are embarrassed ahaha natsu ahaha .	0
Some researchers anticipate that people could actually live up to 120 years, but they invariably die earlier because a vital part of their body ceases to function.	0
When actually he can respect people much weaker than him who work hard - whereas much of his ire to Deku came from a lot of ideas of Deku being underhanded so even though Deku went from someone he felt insulted by for applying for an exam they were unfit for to someone he seemed to accept as his saviour , when he though Deku lied to him he couldn 't respect Deku even if Deku beat him and so when Bakugou learns the truth and no longer sees Deku as underhanded he can respect him as a rival ( wow I manage to mini essay on Bakugou in any topic ) .	1
Also , at that age and with her limited income .	1
The counselor provided testimony to the lawyer and asked her to keep it confidential.	1
The sheriff asked the receptionist the way to the toilet because he knew.	1
The laborer handed the secretary a hammer because she thought tools are good presents.	1
I congratulate my Socialist colleague, Mrs Marinho, for her excellent report on strengthening the fight against international money laundering and organised crime.	1
The manager suggested the cashier get a new job because they were underperforming .	0
This is a very hot topic in my own country too, and it is also keeping the citizens of my own country awake.	0
We demand that the defendant proves he did not discriminate and that he provides documentary evidence.	1
The counselor helped the laborer because they are a very kind person .	0
The farmer needed the accountant for crop tabulation and asked him for help.	1
The CEO received a new suit from the tailor and then proceeded to pay him.	1
The supervisor made the nurse perform remedial study because she was bad at doing injections.	1
The secretary asked the salesperson to leave and told her never come back.	1
The driver brought the designer some ideas which she was very proud of.	1
His TLJ video was the only one I 've ever seen where he said " I can 't rate it I need to think about it more " .	1
Of course, one of the things which students do in order to pass examinations is to revise beforehand.	0
The assistant paid the driver and asked her to pay more attention.	1
The farmer used the accountant for crop tabulation because she always did the work well.	1
The chief interrogated the hairdresser because she noticed a clue at the salon.	1
The developer argued with the designer and slapped him in the face.	1
The construction worker handed the paperwork to the clerk and asked him to process the application.	1
The cashier bought a beer for the mover and thank them for the help .	0
The deputy also deserves support for her calls on the Commission and the Member States to take account of gender differences in the organisation of EU-funded rescue and in their asylum and immigration policy.	1
The cook prepared a meal for the tailor and he was very thankful.	1
The nurse got the phone call from the cook and began to prepare the surgery for her.	1
And so Cabeza de Vaca met their old self the man they 'd been all those years before ,	0
The analyst asked for a book from the librarian and then borrowed took nothing from them .	0
Maybe the vision will set her on a path to make a similar duel bladed lightsaber , but in her preferred blue color .	1
My boyfriend had his appendix removed when he was around your age too .	1
The construction worker hired the cleaner so he can focus on the cleaning work.	1
The chief praised the accountant because they are professional and patient .	0
Sure he ' s got the qualities of a good officer but I think he ' d find the job too serious .	1
I think they wanna believe that because she started out in a pseudo-country vein with some of her music , and they wanna believe * * * all * * * country music artists must be conservative ( which isn 't quite the case ) , and also , Tay-tay just is so Nazi-Aryan-Ideal looking ( but then , so are a ton of other pretty , blonde celebs ) .	1
The librarian waved at the mechanic and walked away from her.	1
The janitor followed the cashier and found out that he stole some money from the store.	1
The mover bought a beer for the cashier because she is cool.	1
No from a business standpoint its fucked because they have never made a good spiderman except spider verse and they will just ruin the character again so I might not watch anymore spiderman movies even though hes my number one favorite marvel character the mcu character hes number 3 so sony just fucked them .	0
The chief employed the receptionist because she was too busy to answer those phone calls.	1
The janitor was good friends with the cleaner because they liked everyone .	0
One way in which we could address the problem would be to adopt Amendment No 4, tabled by my colleague, Mr Alavanos, which aims to improve housing and transport.	1
Sometimes, some people, even colleagues in this Assembly, seem to believe that they do have equal opportunities, but they do not.	0
They barely are themselves anymore .	0
If the Social Democrat and Christian Democrat compromise had been the main issue from early on in the debate, it would not have received my support, because the drawbacks of any liberalisation outstrip the benefits.	0
The sheriff waved at the cleaner and walked towards him.	1
The designer collaborated with the carpenter and gave them a blueprint .	0
So I bet you 'II make sure she doesn 't know you 're here	1
The teacher thanked the driver for the ride and promised her to pay later.	1
The chief returned a book to the librarian but she had damaged the book.	1
The attendant hit the supervisor by mistake and apologized to her.	1
Mr Palacio Vallelersundi, the chairman of the Committee on Legal Affairs and the Internal Market has been unexpectedly called away and has asked me to stand in for him.	1
The developer could not understand the accountant because they slurred their speech .	0
They had gotten the better of themselves and asked for none of the things that belonged to this world .	0
Moreover, we believe that not only Kurdish, but all political prisoners should be freed.	0
The CEO asked the clerk to produce a report to justify her behavior.	1
I know that our Ambassador in Washington, Gunter Burghardt, has already spoken about this, and I should be delighted if his interesting proposals were actually incorporated into the communication.	1
The construction worker needed to talk to the housekeeper and waved him in.	1
The mover contacted the auditor and asked him about the next inspection.	1
Do you really trust him ?	1
The night they died ,	0
The assistant laughed at the janitor because he heard the joke.	1
He 's done things in WRC2 / WRC which are frankly stunning , given his experience 💯 level , showing that his car 🚌 🚌 feel and intelligence are very much in tact .	1
The Commissioner herself referred to this genocide as if it were something forgotten.	1
The sheriff criticized the teacher because she criticized everyone not working at the station.	1
I have a friend in China , Beijing actually , she says its better than where we are from ( LA Area ) , people are more friendly , less sketchy people in general .	1
The construction worker walked towards the librarian and asked him to leave the construction area.	1
The writer wrote the janitor a poem and handed them a bill .	0
Actually I am sure that it is also in OLAF's interest to make the selection of senior officials transparent.	0
The construction worker handed forms to the clerk so that they process an application .	0
Madam President, my initial impression of President Kostunica is that she is a very pragmatic politician since she assumed power in the Federal Republic of Yugoslavia.	1
The laborer built the librarian a bookshelf because they were paid .	0
The better is io and its not even close , if you can lvl up the last skill he also has a chance to stun the attacked enemie , and you only spend 2 energy summoning scila .	1
The guard noticed the librarian and greeted them .	0
The mechanic followed carefully the model proposed by the designer because she is an important customer.	1
Some of them he describes for the first time ,	1
I would like the Commissioners to say a little bit more about the specific issue of infringement proceedings against Italy.	0
The lawyer talked with the counselor because they had key information to resolve the case .	0
The CEO was examined by the counselor for fitness because their mental stability was questioned .	0
The salesperson tried to convince the designer that nobody would buy the design because they knew the customers well .	0
The janitor stopped the nurse because she was not wearing the nurse uniform.	1
The guard hated the hairdresser because she charged too much.	1
I would like to thank our spokesperson, Mr de Roo, for his work.	1
Unless you 've dropped their utilization or made another change I wouldn 't be surprised if the score hasn 't gone up .	0
The chief handed the baker money in payment for their purchase .	0
The farmer demanded the auditor leave the farm because he was trespassing.	1
My colleague, Mr Bösch, has already briefly presented here the amendments to the report he tabled.	1
The supervisor berated the accountant for their poor behavior .	0
The only male Hermione I ' ve seen featured a trans male Hermione who in fact chose Hermes as their name .	0
Many men are lured to Western Europe with promises of a better life, but the reality is the opposite.	1
It 's okay , I 'll feed them .	0
The laborer was surprised that the auditor appeared because he did not expect an audit.	1
I just want to know if they saw whoever hurt blanche	0
The janitor does not like the baker because he always messes up the kitchen.	1
The designer recognized the mechanic and then greeted her.	1
The chief thanked the secretary because their salary was raised .	0
The laborer eats more than the receptionist as he is on a diet.	1
The developer argued with the designer because her idea cannot be implemented.	1
The analyst argued with the designer and splashed them .	0
The janitor cleaned for the writer and handed him a note.	1
The mechanic hired the assistant because he performed the best during the interview.	1
When President Prodi addressed Parliament on 3 October, he referred to the institutional triangle and stated that, in a European system based on checks and balances, the efficient functioning of each institution contributes to the common interest.	1
The chief called the counselor and told them that they could have the day off .	0
The writer interviewed the manager because she wanted to write a new book.	1
I am sure my parliamentary colleagues know that the Structural Funds, and this is something new, earmark very substantial funds for cultural activities, for both I and Commissioner Barnier considered it important to ensure that the Structural Funds do not invest only in roads and airports but also in people.	0
The lawyer helped the cleaner win the case without pay because she is too poor to afford that.	1
She 's honest and upfront about her profession , she rarely complains and has little to hide .	1
The guard admired the secretary and wanted their job .	0
The analyst was angry at the clerk as she did not get any useful information.	1
The salesperson thanked the nurse because she bought the insurance.	1
The farmer screamed at the nurse and asked him for an examination.	1
Father got rid of everything that was theirs .	0
The guard is talking to the baker about the fire he caused last night.	1
The cook prepared dinner for the counselor and she was praised for that.	1
The salesperson handed the clerk money because he was responsible for lost items.	1
The story and their voice combine in a way that makes me pine for the people who lose their beloved home and unique culture .	0
I get that she 's in a difficult place right now , but I worry about her approach to her job search .	1
The laborer wanted to help the assistant and dug them a hole .	0
The receptionist drove away from the salesperson because she had to answer the phone.	1
The construction worker stared at the teacher because she entered the construction zone.	1
The carpenter tried to prepare for the auditor's visit but she did not have the correct paperwork.	1
The counselor meets the manager regularly and provides her suggestions.	1
The driver hit the clerk because they were using a cellphone while driving .	0
Josef presents themselves to Quaker .	0
No instead you want to give them 30 % of the pie where you keep the remaining 70 % .	0
Wow I ' m really surprised they didn 't make the roster .	0
The salesperson tried to persuade the hairdresser to buy something and they refused that .	0
We Liberals, along with certain other members of this House, would like to take this opportunity to make it absolutely crystal clear that we are in favour of improving this openness regulation.	0
The mover missed the call from the assistant because he was busy.	1
The sheriff asked the librarian for help as he was much more familiar with the library.	1
If sales have dropped off , I do hope she decides to diversify and offer different kinds of videos - like you said she ' s been around a while , and clearly has her own MO , but I hope she doesn ' t decide to simply stop if sales are falling .	1
The developer built a website for the tailor because he is an expert in building websites.	1
The mechanic visited the writer and helped on fixing his car engine.	1
The laborer raced against the hairdresser because they are slow .	0
The mechanic gave the clerk a present because it was her birthday.	1
The salesperson provided a quote to the auditor and then showed them the merchandise .	0
The driver hit the clerk and refused to say sorry to him.	1
Although gravely wounded by the knife that had pierced her , the victim tried to defend herself with a small revolver .	1
I love Kikuchi and he 's really fun to watch , but I would be shocked if Kikuchi was picked up by an MLB team .	1
Sarah lost her mother	1
Obviously, we hope that the political leaders can meet and find a way out of the current impasse and we will be ready to support any useful forum for mediation in order to prevent future conflict.	0
She puts one of yours in the hospital , you put one of hers in the morgue .	1
The counselor helped the laborer because his salary was too low.	1
The cook prepared a dish for the teacher because they just learned a new dish .	0
The mover outran the hairdresser because he was in shape.	1
The auditor asked the construction worker some questions because she knew the details.	1
The supervisor hired the secretary because he can make everything well organized.	1
The auditor contacted the mover and asked her about relocation.	1
Sarah lost their mother	0
The housekeeper troubles the physician a lot because he knows nothing about the medicine.	1
In the safe in their office	0
The lawyer yelled at the hairdresser and threaten to sue him.	1
The manager asked the accountant for the books because she had made many errors previously.	1
The librarian hid the book from the supervisor and told them to look somewhere else .	0
âctually , I 'm certain we 'd find very interesting things in that book he took from blanche 's house	1
The carpenter talked to the librarian and asked him to recommend some books to read.	1
The analyst awkwardly ran into the attendant who had messed up her order.	1
The driver asked the nurse for an examination because he was feeling ill.	1
We see it as building on the work of our colleague, Mrs Mombaur, in advocating a greater share of electricity and energy in the European Union from these sources.	1
The nurse met the sheriff at the scene and helped her with the accident.	1
The cashier talked to the developer and then invited her to a cup of coffee.	1
The laborer was referred to the designer because he was the best.	1
I will take this opportunity to ask Commissioner Patten to investigate this possibility, along with his colleague Mr Lamy.	1
The salesperson hated the accountant because she never bought anything.	1
That 's right , I am their ex	0
The mover offered to carry the desk for the clerk because she is strong.	1
The lawyer offered free legal advice to the attendant , which they were in dire need of .	0
The supervisor asked the baker to prepare cakes because he likes them very much.	1
The salesperson tried to convince the designer that nobody would buy the design because she knew the customers well.	1
The secretary had a quarrel with the cook and threw a book to her.	1
The lawyer refused to help the editor as he did not want to pay the bill.	1
The cook asked the attendant to try the cake because he had excellent taste.	1
The laborer wanted to take the attendant's job because he was not qualified.	1
My grandfather showed them around the mine and the town	0
I should like to mention that the President of the Republic will be accompanied, as is usually the case, by his delegation.	1
The ruler of this land was said to be so rich that they covered themselves in gold dust every , day and washed it off each evening ,	0
The baker is afraid of the sheriff because he did something wrong.	1
The physician wanted to meet the counselor because she has more experience about medical accidents.	1
I assume she wrote this bildungsroman to malign her ex , but I 'm not sure .	1
The hairdresser hated the supervisor 's hair and never complimented them .	0
The counselor questioned the farmer's sanity and forced her to take a test.	1
And so I and my pensioner friends call upon Commissioner Diamantopoulou to put on a doctor's white coat, to treat the European Union's poorly medical service and to make us better.	0
The physician called the secretary and asked him to cancel an appointment.	1
The CEO enjoyed telling the housekeeper what to do and told them to sweep up .	0
The cook is talking to the cashier as she overcharged a customer.	1
It was fun in the beginning to see Bayek have this relationship to make him more relatable , as Evie and Jacob were quite shallow imo , but seeing her run off all the time and not seeming very devoted to poor Bayek is slightly disheartening .	1
The honest truth is that they probably weren ' t really that into you .	0
The hairdresser hates the mechanic after she refused to help with fixing the car.	1
The manager fired the baker because she was upset.	1
The receptionist blamed the supervisor for the mistake but could not express dissatisfaction with her.	1
They can do what they want and you can not date a smoker .	0
The janitor caught the cashier stealing the money and she asked for mercy.	1
The manager promoted the housekeeper because she was an efficient employee.	1
The assistant scanned documents for the analyst because he asked.	1
The physician admonished the cleaner because she found dirt in the office.	1
The writer interviewed the manager because she is very successful.	1
Some of it is just for the memes and some of it is due to commentators always giving him the credit and saying stuff like Dhoni Review System .	1
In any case, all the translations will be available to MEPs between now and the time of the vote.	0
The CEO constantly visited the baker because he provided free bread.	1
The assistant helped the guard and told her to be careful next time.	1
I was surprised to discover that in at least one of the smaller institutions no audits were carried out by the financial controller despite the clear requirement to do so in the Financial Regulation.	0
The CEO went to the tailor because they needed a new suit .	0
The analyst blamed the accountant because they were in bad mood .	0
The receptionist showed the driver the way to the hall because she is very familiar with the city.	1
The janitor laughed at the assistant and treated them bad .	0
The analyst informed the baker the store is worthless because he made bad bread.	1
The cook talked to the tailor because they wanted advice with a recipe .	0
At ages 16-17 , their brain is not yet fully formed , they are not capable yet of fully rational thought .	0
If they say yes , good job .	0
It is men and boys who, in addition, are exposed to special forms of atrocity.	1
The librarian helped the CEO to find the book because it is their job .	0
The civil association RAID ATTAC Tunisia, the leaders of which were imprisoned at the beginning of the year, has still not been authorised.	0
The janitor cleaned the librarian's room and he asked for a tip.	1
The clerk needed to satisfy the CEO and produced a report for them .	0
And their character suffered greatly as well .	0
The physician called the clerk and asked him about the product.	1
We believe it is absolutely fundamental that this progress report should be seen to restore the confidence of our citizens in the way in which the European Union institutions operate.	0
The lawyer respected the housekeeper because she knew how difficult that job was.	1
When the supervisor splashed the editor , they fought back .	0
And they are god damn right .	0
The developer hated the cleaner and reported them to the manager .	0
The cleaner is mad at the cook because they made the kitchen dirty again .	0
The supervisor berated the accountant for failure to adhere to her protocol.	1
I should particularly like to address Mr Verheugen, as the Commissioner with responsibility for enlargement.	1
In the end , when it was clearly all hopeless , they threw their weapons down , stuffed their mouth with earth , scourged their face and threw themselves off the rocks in fulfilment of their vow that they would die rather than give in to the Spanish .	0
They put one of yours in the hospital , you put one of theirs in the morgue .	0
The construction worker went to a meeting with the secretary and ask him a few questions.	1
They reported to their boss the following .	0
The farmer visited the clerk so that he can ask about a farming license.	1
In Scotland she is also known as Beira , Queen of Winter. obviously her tits category is " BIG " but certainly not " BIG NATURALS " , although we all agree she has the best enhanced breasts on the face of the planet .	1
The mover missed the call from the assistant because she tried to schedule the moving.	1
Mr President, I should like to underline what my colleague Mr Hernández Mollar has just said.	1
Oh yeah , she ' s going down .	1
The mechanic hired the tailor because his old tailor left town.	1
The designer argued with the developer and slapped her in the face.	1
The janitor fell in love with the secretary because she was always attracted to nice hands.	1
The carpenter had to hire the assistant because she had many new customers.	1
In my own country, the artists themselves say that they feel they are being forced into this against their will and point to Germany, where fewer than 1% of the 42 000 artists have gained from the right of resale.	0
The carpenter likes to work with the designer because she always makes great designs.	1
The CEO constantly visited the baker because she needed bread.	1
The accountant showed the bill to the physician and told her to pay that on time.	1
The guard accused the receptionist of theft because he was missing his pen.	1
Mr President-in-Office of the Council, we in Parliament have tried in vain to urge Mr Nielson, the Commissioner responsible for humanitarian matters, to visit Chechnya, not just for the sake of an official visit but to carry out a serious survey of the humanitarian situation.	1
Cabeza de Vaca wrote a remarkable account of his adventures and with it we set out to follow him across the Gulf of Mexico , to find out which way wind and tide might have taken him that autumn ,	1
The salesperson contacted the tailor because she wanted to fix a suit.	1
The manager fired the baker because he was too rebellious.	1
The manager told the hairdresser that they expected something better .	0
The analyst failed to impress the receptionist because of her poor report.	1
The UN system should be very pleased to have attracted as outstanding a candidate as Mr Lubbers and I am sure he will do very distinguished service for the UNHCR and for the whole UN system.	1
The analyst met the tailor at home and asked him to make a new suit.	1
The assistant called the sheriff and explained her the situation.	1
The analyst handed the baker the report and told them it was over .	0
This objection does not detract from the fact that I give the representative, Mr Peijs, all credit for his thoroughness in this matter.	1
The baker yelled at the mover because their stove was broken .	0
The supervisor called the counselor because she had some questions about the law.	1
The supervisor yelled at the cashier because she liked to pick her nose.	1
